Sold Price (AUD),Bedrooms,Bathrooms,Car Spaces,Land Size (m2),Travel Time to CBD (min),Has Garden,Sale Year,Sale Month,Suburb_Burwood,Suburb_Hawthorn,Suburb_Ringwood,Property Type_House,Property Type_Unit
333000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.8628443646229731,0,0.5629784083986551,-0.2172620473133703,0,0,1,0,1
745000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.5372427175954361,0,0.5629784083986551,-0.579365459502321,0,0,1,0,1
555000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,0.5372427175954361,0,0.5629784083986551,-0.579365459502321,0,0,1,0,1
660000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,1.0256451881367417,1,0.5629784083986551,-0.579365459502321,0,0,1,0,1
595000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.5372427175954361,0,0.5629784083986551,-0.579365459502321,0,0,1,0,1
468000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.5372427175954361,0,0.5629784083986551,-0.579365459502321,0,0,1,0,1
728000,0.4591719447681909,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,1.3512468351642786,1,0.5629784083986551,-0.579365459502321,0,0,1,0,1
449000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.8628443646229731,0,0.5629784083986551,-0.579365459502321,0,0,1,0,1
412000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,1.0256451881367417,0,0.5629784083986551,-0.579365459502321,0,0,1,0,1
420000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.3744418940816676,1,0.5629784083986551,-0.579365459502321,0,0,1,0,1
835116,-0.4353188567282851,0.9423064972256977,0.572218164967335,-0.6794435738696002,0.8628443646229731,0,0.5629784083986551,-0.9414688716912717,0,0,1,0,1
605000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,1.0256451881367417,0,0.5629784083986551,-1.3035722838802224,0,0,1,0,1
520000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.3744418940816676,0,0.5629784083986551,-0.9414688716912717,0,0,1,0,1
826000,0.4591719447681909,-0.8027055346737424,0.572218164967335,-0.6794435738696002,1.0256451881367417,0,0.5629784083986551,-0.579365459502321,0,0,1,0,1
555555,-0.4353188567282851,-0.8027055346737424,0.572218164967335,-0.6794435738696002,0.8628443646229731,0,-1.6593047826486942,1.5932550136313832,0,0,1,0,1
960000,0.4591719447681909,0.9423064972256977,0.572218164967335,-0.6794435738696002,1.514047658678047,1,-1.6593047826486942,1.5932550136313832,0,0,1,0,1
1782000,1.3536627462646669,0.9423064972256977,0.572218164967335,1.3612628955692936,0.21164107056789913,1,0.5629784083986551,0.14484136487558041,1,0,0,1,0
1175500,0.4591719447681909,0.9423064972256977,0.572218164967335,0.18252647217697732,0.3744418940816676,0,0.5629784083986551,0.14484136487558041,1,0,0,1,0
1212000,0.4591719447681909,-0.8027055346737424,1.7321198507119329,1.6536626285038218,0.5372427175954361,1,0.5629784083986551,0.14484136487558041,1,0,0,1,0
1320000,0.4591719447681909,0.9423064972256977,-0.5876835207772628,1.9156040559243366,1.18844601165051,0,0.5629784083986551,0.14484136487558041,1,0,0,1,0
1305000,0.4591719447681909,-0.8027055346737424,0.572218164967335,1.3582170650178922,0.7000435411092046,1,0.5629784083986551,0.14484136487558041,1,0,0,1,0
1230000,0.4591719447681909,-0.8027055346737424,0.572218164967335,1.126733943111391,0.8628443646229731,0,0.5629784083986551,0.14484136487558041,1,0,0,1,0
